date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2028-09-01,233.37464,96.8124,0.4697,142.8195,95.479,125.3097,28.5367,6734.4342,1586.0017,5.5404,98.1532,148.27,13.786,100.0,5628.0,74.71,210.8593,7.1198
2028-09-08,233.72128,96.9562,0.5024,139.2344,90.2998,124.6583,34.5598,6579.2902,1702.6685,7.2559,97.7596,148.27,13.786,100.0,5628.0,74.71,209.9192,7.0912
2028-09-15,234.24843,97.1749,0.4376,136.8505,89.5552,120.4489,32.0555,6456.6219,1614.8448,7.2955,97.2142,148.27,13.786,100.0,5628.0,74.71,203.8438,7.0517
2028-09-22,230.2182,95.503,0.4216,138.9453,92.6479,107.0697,32.96,6691.58,1532.498,9.5466,97.5125,148.27,13.786,100.0,5628.0,74.71,184.5336,7.0733
2028-09-29,232.16371,96.3101,0.4454,142.5465,92.9359,110.5315,30.7856,6724.9503,1441.5577,9.377,96.8739,148.27,13.786,100.0,5628.0,74.71,189.53,7.027
2028-10-06,232.73455,96.5469,0.4214,149.8483,95.2708,103.6264,30.0732,6966.6922,1450.46,13.6152,97.1529,148.27,13.786,100.0,5628.0,74.71,179.5639,7.0472
2028-10-13,233.28383,96.7748,0.3435,150.7744,94.6819,108.0522,32.2878,6809.6255,1369.2658,10.134,97.514,148.27,13.786,100.0,5628.0,74.71,185.9516,7.0734
2028-10-20,230.36048,95.562,0.3446,153.4853,104.7995,108.0136,34.3626,6826.1517,1363.4442,11.7477,97.3091,148.27,13.786,100.0,5628.0,74.71,185.896,7.0585
2028-10-27,233.48098,96.8565,0.3501,148.8752,109.1207,106.9035,32.4905,6933.7562,1311.4587,11.8007,97.3036,148.27,13.786,100.0,5628.0,74.71,184.2937,7.0581
2028-11-03,233.15452,96.7211,0.3355,148.7122,112.8164,116.0513,33.8654,6936.131,1239.0825,9.9429,97.0885,148.27,13.786,100.0,5628.0,74.71,197.4967,7.0425
2028-11-10,230.32189,95.546,0.3454,149.1049,115.2771,115.5693,35.1122,6949.4209,1137.5468,8.5488,96.9876,148.27,13.786,100.0,5628.0,74.71,196.8011,7.0352
2028-11-17,232.12932,96.2958,0.3418,159.9219,121.1434,114.1218,39.2211,6979.7885,1121.0875,7.7457,96.7751,148.27,13.786,100.0,5628.0,74.71,194.7119,7.0198
2028-11-24,233.24205,96.7574,0.3265,161.1073,121.1592,117.1052,42.8461,7175.416,1051.3096,5.1368,97.4366,148.27,13.786,100.0,5628.0,74.71,199.0179,7.0678
2028-12-01,234.24494,97.1735,0.3244,152.7207,112.5876,120.9107,45.3312,7056.4045,939.7797,4.7048,97.7158,148.27,13.786,100.0,5628.0,74.71,204.5103,7.088
2028-12-08,230.70722,95.7059,0.2904,152.6199,115.2757,121.7678,42.1753,7306.4403,933.3666,4.684,97.0547,148.27,13.786,100.0,5628.0,74.71,205.7474,7.0401
2028-12-15,232.01852,96.2499,0.3398,151.4236,123.5982,112.2911,37.4178,7625.9622,924.9607,4.2062,97.7932,148.27,13.786,100.0,5628.0,74.71,192.0697,7.0937
2028-12-22,233.73968,96.9639,0.3088,156.1964,121.1674,127.5495,35.7748,7792.5166,937.0354,5.1855,98.9124,148.27,13.786,100.0,5628.0,74.71,214.092,7.1748
2028-12-29,235.60399,97.7372,0.2826,159.5219,117.8697,143.6549,36.1405,7710.4238,944.5692,4.1754,98.2156,148.27,13.786,100.0,5628.0,74.71,237.3369,7.1243
2029-01-05,236.33404,98.0401,0.2701,152.0709,120.4745,154.0753,38.1224,7937.1873,914.1378,3.322,99.296,148.27,13.786,100.0,5628.0,74.71,252.3767,7.2027
